poll_date,institute,register_tse,candidate,poll_pct,polymarket_pct,polymarket_date,divergence_pp
2026-03-03,Real Time Big Data/Record,Encomendada pela Record,Lula,39,63.5,20/08/2026,24.5
2026-03-03,Real Time Big Data/Record,Encomendada pela Record,Flávio,32,32.85,20/08/2026,0.85
2026-03-03,Real Time Big Data/Record,Encomendada pela Record,Zema,2,0.15,20/08/2026,-1.85
2026-03-03,Real Time Big Data/Record,Encomendada pela Record,Renan,2,4.45,20/08/2026,2.45
2026-03-07,Datafolha,Folha de S.Paulo,Lula,39,63.5,20/08/2026,24.5
2026-03-07,Datafolha,Folha de S.Paulo,Flávio,34,32.85,20/08/2026,-1.15
2026-03-07,Datafolha,Folha de S.Paulo,Zema,4,0.15,20/08/2026,-3.85
2026-03-07,Datafolha,Folha de S.Paulo,Renan,3,4.45,20/08/2026,1.45
2026-03-11,Quaest/Genial Investimentos,Genial Investimentos,Lula,37,63.5,20/08/2026,26.5
2026-03-11,Quaest/Genial Investimentos,Genial Investimentos,Flávio,30,32.85,20/08/2026,2.85
2026-03-11,Quaest/Genial Investimentos,Genial Investimentos,Zema,3,0.15,20/08/2026,-2.85
2026-03-11,Quaest/Genial Investimentos,Genial Investimentos,Renan,1,4.45,20/08/2026,3.45
2026-03-25,AtlasIntel/Bloomberg,BR-04227/2026,Lula,45.9,63.5,20/08/2026,17.6
2026-03-25,AtlasIntel/Bloomberg,BR-04227/2026,Flávio,40.1,32.85,20/08/2026,-7.25
2026-03-25,AtlasIntel/Bloomberg,BR-04227/2026,Renan,4.4,4.45,20/08/2026,0.05
2026-03-25,AtlasIntel/Bloomberg,BR-04227/2026,Caiado,3.7,0.35,20/08/2026,-3.35
2026-03-25,AtlasIntel/Bloomberg,BR-04227/2026,Zema,3.1,0.15,20/08/2026,-2.95
2026-03-27,Gerp/AESP,AESP (Assoc. Emissoras SP),Lula,38,63.5,20/08/2026,25.5
2026-03-27,Gerp/AESP,AESP (Assoc. Emissoras SP),Flávio,36,32.85,20/08/2026,-3.15
2026-03-27,Gerp/AESP,AESP (Assoc. Emissoras SP),Zema,3,0.15,20/08/2026,-2.85
2026-03-27,Gerp/AESP,AESP (Assoc. Emissoras SP),Caiado,3,0.35,20/08/2026,-2.65
2026-03-27,Gerp/AESP,AESP (Assoc. Emissoras SP),Renan,1,4.45,20/08/2026,3.45
2026-03-30,Paraná Pesquisas,BR-00873/2026,Lula,41.3,63.5,20/08/2026,22.2
2026-03-30,Paraná Pesquisas,BR-00873/2026,Flávio,37.8,32.85,20/08/2026,-4.95
2026-03-30,Paraná Pesquisas,BR-00873/2026,Caiado,3.6,0.35,20/08/2026,-3.25
2026-03-30,Paraná Pesquisas,BR-00873/2026,Zema,3,0.15,20/08/2026,-2.85
2026-03-30,Paraná Pesquisas,BR-00873/2026,Renan,1.2,4.45,20/08/2026,3.25
2026-03-30,Nexus/BTG Pactual,BR-07875/2026,Lula,41,63.5,20/08/2026,22.5
2026-03-30,Nexus/BTG Pactual,BR-07875/2026,Flávio,38,32.85,20/08/2026,-5.15
2026-03-30,Nexus/BTG Pactual,BR-07875/2026,Zema,4,0.15,20/08/2026,-3.85
2026-03-30,Nexus/BTG Pactual,BR-07875/2026,Caiado,4,0.35,20/08/2026,-3.65
2026-03-30,Nexus/BTG Pactual,BR-07875/2026,Renan,2,4.45,20/08/2026,2.45
2026-05-05,Real Time Big Data,BR-03627/2026,Lula,40,36.5,2026-05-05,-3.5
2026-05-05,Real Time Big Data,BR-03627/2026,Flávio,34,44.05,2026-05-05,10.05
2026-05-05,Real Time Big Data,BR-03627/2026,Caiado,5,1.15,2026-05-05,-3.85
2026-05-05,Real Time Big Data,BR-03627/2026,Zema,4,4.65,2026-05-05,0.65
2026-05-05,Real Time Big Data,BR-03627/2026,Renan,3,5.45,2026-05-05,2.45
2026-05-07,Paraná Pesquisas,,Flávio,39.3,45,2026-05-07,5.7
2026-05-07,Paraná Pesquisas,,Lula,36,37.5,2026-05-07,1.5
2026-05-08,Paraná Pesquisas,,Flávio,44.6,43.85,2026-05-08,-0.75
2026-05-08,Paraná Pesquisas,,Lula,29.8,37.5,2026-05-08,7.7
